@relation stateData-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute living_ghost1 {True,False}
@attribute living_ghost2 {True,False}
@attribute living_ghost3 {True,False}
@attribute living_ghost4 {True,False}
@attribute ghost_posX1 numeric
@attribute ghost_posY1 numeric
@attribute ghost_posX2 numeric
@attribute ghost_posY2 numeric
@attribute ghost_posX3 numeric
@attribute ghost_posY3 numeric
@attribute ghost_posX4 numeric
@attribute ghost_posY4 numeric
@attribute ghost_dir1 {North,South,West,East,Stop}
@attribute ghost_dir2 {North,South,West,East,Stop}
@attribute ghost_dir3 {North,South,West,East,Stop}
@attribute ghost_dir4 {North,South,West,East,Stop}
@attribute ghost_dist1 numeric
@attribute ghost_dist2 numeric
@attribute ghost_dist3 numeric
@attribute ghost_dist4 numeric
@attribute dot_dist numeric
@attribute score numeric
@attribute nextScore numeric
@attribute pacman_posX numeric
@attribute pacman_posY numeric
@attribute pacman_dir {North,South,West,East,Stop}
@attribute pacman_action {North,South,West,East,Stop}

@data
False,False,True,True,1,1,3,1,17,4,28,2,Stop,Stop,South,West,-1,-1,8,20,-1,336,335,14,9,North,North
True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,-1,12,10,Stop,North
True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,-1,12,10,Stop,North
False,False,True,True,1,1,3,1,17,6,28,2,Stop,Stop,North,North,-1,-1,12,26,-1,330,329,14,15,North,North
False,False,False,True,1,1,3,1,5,1,18,9,Stop,Stop,Stop,North,-1,-1,-1,13,9,655,654,11,4,North,North
False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,6,-1,-1,16,583,582,5,6,West,North
False,False,True,True,1,1,3,1,15,3,28,3,Stop,Stop,South,South,-1,-1,12,26,-1,355,354,11,11,North,North
False,False,True,True,1,1,3,1,15,4,28,3,Stop,Stop,North,North,-1,-1,6,20,-1,360,359,11,6,North,North
False,False,True,True,1,1,3,1,5,9,6,6,Stop,Stop,Stop,Stop,-1,-1,9,7,-1,384,383,2,3,East,North
False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,7,14,-1,359,358,11,7,North,North
False,False,True,True,1,1,3,1,7,11,14,5,Stop,Stop,East,South,-1,-1,3,11,5,379,378,7,8,West,North
False,False,True,True,1,1,3,1,8,11,14,6,Stop,Stop,Stop,Stop,-1,-1,12,13,9,379,378,1,6,North,North
False,False,False,True,1,1,3,1,5,1,17,11,Stop,Stop,Stop,East,-1,-1,-1,8,3,649,648,14,7,North,North
True,True,True,True,5,7,10,5,17,6,28,6,South,West,East,West,8,11,19,29,-1,-15,-16,1,3,South,North
False,False,True,True,1,1,3,1,4,9,5,10,Stop,Stop,West,West,-1,-1,6,8,-1,384,383,3,4,East,North
False,True,False,True,1,1,6,6,5,1,13,6,Stop,West,Stop,West,-1,3,-1,7,-1,390,389,7,4,East,North
True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,8,10,17,26,-1,-17,-18,2,4,North,North
False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,7,14,-1,359,358,11,7,North,North
True,True,True,True,4,7,11,5,17,6,27,6,West,East,East,East,6,11,18,29,-1,-16,-17,2,3,East,North
True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,10,10,19,28,-1,-15,-16,1,3,South,North
False,False,True,False,1,1,3,1,5,9,7,1,Stop,Stop,Stop,Stop,-1,-1,2,-1,-1,575,574,6,8,North,North
True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,11,9,5,3,7,0,-1,12,10,Stop,North
True,True,True,True,5,6,5,12,13,6,13,12,Stop,Stop,Stop,Stop,12,8,6,2,8,-1,-2,12,11,North,North
False,False,True,True,1,1,3,1,13,3,27,2,Stop,Stop,South,East,-1,-1,2,18,-1,363,362,11,3,East,North
False,False,True,True,1,1,3,1,5,9,6,6,Stop,Stop,Stop,Stop,-1,-1,7,5,-1,382,381,2,5,North,North
False,False,True,True,1,1,3,1,8,11,14,6,Stop,Stop,East,North,-1,-1,4,7,3,375,374,10,9,East,North
False,False,True,False,1,1,3,1,5,9,7,1,Stop,Stop,Stop,Stop,-1,-1,3,-1,-1,576,575,6,7,North,North
False,False,True,True,1,1,3,1,8,11,14,6,Stop,Stop,East,North,-1,-1,4,7,3,375,374,10,9,East,North
False,False,False,True,1,1,3,1,5,1,17,11,Stop,Stop,Stop,East,-1,-1,-1,8,3,649,648,14,7,North,North
False,False,False,True,1,1,3,1,5,1,14,6,Stop,Stop,Stop,Stop,-1,-1,-1,5,9,655,654,11,4,North,North
False,False,False,True,1,1,3,1,5,1,7,6,Stop,Stop,Stop,East,-1,-1,-1,10,-1,579,578,1,3,South,North
False,False,False,True,1,1,3,1,5,1,14,6,Stop,Stop,Stop,Stop,-1,-1,-1,5,9,655,654,11,4,North,North
False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,9,18,-1,363,362,11,3,East,North
True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,8,10,17,26,-1,-17,-18,2,4,North,North
False,True,False,False,1,1,4,13,5,1,7,1,Stop,North,Stop,Stop,-1,8,-1,-1,14,577,576,6,7,North,North
False,False,True,True,1,1,3,1,17,6,28,2,Stop,Stop,North,East,-1,-1,11,26,-1,331,330,14,14,North,North
True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,7,11,16,25,-1,-18,-19,2,5,North,North
False,True,False,False,1,1,3,13,5,1,7,1,Stop,West,Stop,Stop,-1,7,-1,-1,12,575,574,6,9,North,North
False,True,False,False,1,1,2,13,5,1,7,1,Stop,North,Stop,Stop,-1,5,-1,-1,15,572,571,6,12,North,North
False,True,True,True,1,1,7,5,8,4,14,6,Stop,South,West,West,-1,4,4,11,-1,193,192,5,3,East,North
True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,12,15,22,-1,-21,-22,3,7,North,North
False,False,False,True,1,1,3,1,5,1,18,9,Stop,Stop,Stop,North,-1,-1,-1,13,9,655,654,11,4,North,North
False,False,False,True,1,1,3,1,5,1,28,3,Stop,Stop,Stop,South,-1,-1,-1,5,-1,500,499,25,4,North,North
False,True,False,False,1,1,4,12,5,1,7,1,Stop,West,Stop,Stop,-1,8,-1,-1,15,578,577,6,6,North,North
False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,4,-1,-1,14,581,580,5,8,North,North
False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,6,15,-1,360,359,11,6,North,North
False,False,True,True,1,1,3,1,3,8,4,10,Stop,Stop,South,South,-1,-1,2,4,-1,382,381,3,6,North,North
False,False,False,True,1,1,3,1,5,1,14,6,Stop,Stop,Stop,Stop,-1,-1,-1,7,11,657,656,10,3,South,North
False,True,True,True,1,1,8,6,19,4,27,6,Stop,North,South,North,-1,7,16,26,-1,176,175,4,3,East,North
True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,4,12,15,22,-1,-21,-22,3,7,North,North
False,False,False,True,1,1,3,1,5,1,14,6,Stop,Stop,Stop,Stop,-1,-1,-1,6,10,656,655,11,3,East,North
False,False,False,True,1,1,3,1,5,1,10,6,Stop,Stop,Stop,West,-1,-1,-1,4,-1,572,571,7,4,East,North
False,True,True,True,1,1,8,6,19,4,27,6,Stop,North,South,North,-1,7,16,26,-1,176,175,4,3,East,North
False,False,True,True,1,1,3,1,3,8,4,10,Stop,Stop,South,South,-1,-1,2,4,-1,382,381,3,6,North,North
False,False,False,True,1,1,3,1,5,1,8,6,Stop,Stop,Stop,East,-1,-1,-1,10,-1,578,577,2,3,East,North
False,True,False,True,1,1,5,6,5,1,12,6,Stop,West,Stop,West,-1,3,-1,5,-1,389,388,7,5,North,North
True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,8,10,17,26,-1,-17,-18,2,4,North,North
False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,7,16,-1,361,360,11,5,North,North
True,True,False,False,6,5,4,11,5,1,7,1,North,South,Stop,Stop,5,13,-1,-1,13,384,383,10,4,West,North
True,True,False,False,6,5,4,12,5,1,7,1,South,West,Stop,Stop,7,16,-1,-1,13,386,385,11,3,West,North
False,True,True,True,1,1,6,8,8,11,14,5,Stop,North,East,North,-1,4,5,6,2,182,181,8,6,North,North
False,False,False,True,1,1,3,1,5,1,28,4,Stop,Stop,Stop,South,-1,-1,-1,3,-1,501,500,25,3,East,North
False,True,True,True,1,1,8,6,11,3,16,6,Stop,Stop,Stop,Stop,-1,2,6,10,-1,191,190,7,5,North,North
False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,9,16,-1,357,356,11,9,North,North
False,True,True,True,1,1,7,7,6,11,12,5,Stop,West,North,East,-1,6,9,10,8,188,187,5,3,East,North
False,True,False,False,1,1,5,12,5,1,7,1,Stop,Stop,Stop,Stop,-1,3,-1,-1,13,578,577,6,10,North,North
False,False,False,True,1,1,3,1,5,1,18,8,Stop,Stop,Stop,North,-1,-1,-1,14,11,657,656,10,3,South,North
False,False,True,False,1,1,3,1,5,9,7,1,Stop,Stop,Stop,Stop,-1,-1,2,-1,-1,575,574,6,8,North,North
False,False,False,True,1,1,3,1,5,1,9,6,Stop,Stop,Stop,East,-1,-1,-1,4,-1,571,570,7,5,North,North
True,True,True,True,3,6,10,5,17,5,28,6,South,West,South,South,2,8,15,26,-1,-18,-19,2,5,North,North
True,True,True,True,3,7,10,5,17,5,28,6,West,West,South,East,4,9,16,28,-1,-17,-18,2,4,North,North
False,False,True,True,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,-1,-1,7,14,-1,359,358,11,7,North,North
True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,8,9,6,10,-1,-7,-8,1,11,South,South
True,True,True,True,6,7,10,4,13,7,27,6,South,West,North,East,7,14,14,30,-1,-9,-10,1,9,South,South
True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,7,7,18,14,0,-1,1,11,Stop,South
True,True,True,False,5,6,5,12,13,6,7,1,Stop,Stop,Stop,Stop,9,13,1,-1,7,192,391,13,7,South,South
False,False,False,True,1,1,3,1,5,1,27,3,Stop,Stop,Stop,West,-1,-1,-1,4,-1,488,487,26,7,South,South
True,True,True,True,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,9,21,24,31,-1,-4,-5,1,14,South,South
False,False,True,True,1,1,3,1,17,5,28,2,Stop,Stop,North,West,-1,-1,5,16,-1,344,343,13,4,South,South
True,True,True,True,5,8,11,4,13,6,26,7,South,North,West,South,8,18,18,31,-1,-6,-7,1,12,South,South
False,False,True,True,1,1,3,1,16,3,28,2,Stop,Stop,East,West,-1,-1,12,24,-1,352,351,13,12,East,South
True,False,True,True,3,4,3,1,4,9,6,10,South,Stop,South,North,2,-1,6,9,-1,186,185,2,5,East,South
True,True,True,True,6,7,10,4,13,7,27,6,South,West,North,East,7,14,14,30,-1,-9,-10,1,9,South,South
False,False,True,False,1,1,3,1,11,3,7,1,Stop,Stop,Stop,Stop,-1,-1,7,-1,-1,580,579,16,5,South,South
