@relation 'stateData-weka.filters.unsupervised.attribute.Remove-R1,24'

@attribute living_ghost1 {True,False}
@attribute living_ghost2 {True,False}
@attribute living_ghost3 {True,False}
@attribute living_ghost4 {True,False}
@attribute ghost_posX1 numeric
@attribute ghost_posY1 numeric
@attribute ghost_posX2 numeric
@attribute ghost_posY2 numeric
@attribute ghost_posX3 numeric
@attribute ghost_posY3 numeric
@attribute ghost_posX4 numeric
@attribute ghost_posY4 numeric
@attribute ghost_dir1 {North,South,West,East,Stop}
@attribute ghost_dir2 {North,South,West,East,Stop}
@attribute ghost_dir3 {North,South,West,East,Stop}
@attribute ghost_dir4 {North,South,West,East,Stop}
@attribute ghost_dist1 numeric
@attribute ghost_dist2 numeric
@attribute ghost_dist3 numeric
@attribute ghost_dist4 numeric
@attribute dot_dist numeric
@attribute score numeric
@attribute pacman_posX numeric
@attribute pacman_posY numeric
@attribute pacman_dir {North,South,West,East,Stop}
@attribute pacman_action {North,South,West,East,Stop}

@data
True,True,False,False,8,11,8,12,5,1,7,1,East,West,Stop,Stop,13,14,-1,-1,9,375,14,4,South,West
True,True,False,False,8,12,8,13,5,1,7,1,North,North,Stop,Stop,13,14,-1,-1,10,374,13,4,West,West
True,True,False,False,9,12,7,13,5,1,7,1,East,West,Stop,Stop,11,14,-1,-1,11,373,12,4,West,West
True,True,False,False,9,12,8,13,5,1,7,1,East,East,Stop,Stop,10,12,-1,-1,12,372,11,4,West,North
True,True,False,False,8,12,9,13,5,1,7,1,West,East,Stop,Stop,10,10,-1,-1,11,371,11,5,North,North
True,True,False,False,8,11,8,13,5,1,7,1,South,West,Stop,Stop,8,10,-1,-1,10,370,11,6,North,North
True,True,False,False,8,10,8,14,5,1,7,1,South,North,Stop,Stop,6,10,-1,-1,9,369,11,7,North,North
True,True,False,False,8,11,9,14,5,1,7,1,North,East,Stop,Stop,6,8,-1,-1,8,368,11,8,North,West
True,True,False,False,8,10,10,14,5,1,7,1,South,East,Stop,Stop,4,6,-1,-1,9,367,10,8,West,West
True,True,False,False,8,10,9,14,5,1,7,1,South,West,Stop,Stop,3,6,-1,-1,10,366,9,8,West,North
True,True,False,False,7,10,9,14,5,1,7,1,West,West,Stop,Stop,3,5,-1,-1,9,365,9,9,North,North
True,True,False,False,6,10,9,13,5,1,7,1,West,South,Stop,Stop,3,3,-1,-1,10,364,9,10,North,West
True,True,False,False,6,10,10,13,5,1,7,1,West,East,Stop,Stop,2,5,-1,-1,11,363,8,10,West,West
False,True,False,False,1,1,10,13,5,1,7,1,Stop,East,Stop,Stop,-1,6,-1,-1,12,562,7,10,West,West
False,True,False,False,1,1,10,13,5,1,7,1,Stop,East,Stop,Stop,-1,7,-1,-1,13,561,6,10,West,East
False,True,False,False,1,1,11,13,5,1,7,1,Stop,East,Stop,Stop,-1,7,-1,-1,12,560,7,10,East,North
False,True,False,False,1,1,11,13,5,1,7,1,Stop,East,Stop,Stop,-1,6,-1,-1,13,559,7,11,North,North
False,True,False,False,1,1,10,13,5,1,7,1,Stop,West,Stop,Stop,-1,4,-1,-1,14,558,7,12,North,North
False,True,False,False,1,1,10,14,5,1,7,1,Stop,North,Stop,Stop,-1,4,-1,-1,15,557,7,13,North,East
False,True,False,False,1,1,10,14,5,1,7,1,Stop,North,Stop,Stop,-1,3,-1,-1,14,556,8,13,East,East
False,True,False,False,1,1,10,14,5,1,7,1,Stop,North,Stop,Stop,-1,2,-1,-1,13,555,9,13,East,North
False,True,False,False,1,1,10,13,5,1,7,1,Stop,South,Stop,Stop,-1,2,-1,-1,14,554,9,14,North,Stop
False,True,False,False,1,1,10,14,5,1,7,1,Stop,North,Stop,Stop,-1,1,-1,-1,14,553,9,14,North,West
