@RELATION  stateData

@ATTRIBUTE living_pacman {False}
@ATTRIBUTE living_ghost1 {True, False}
@ATTRIBUTE living_ghost2 {True, False}
@ATTRIBUTE living_ghost3 {True, False}
@ATTRIBUTE living_ghost4 {True, False}
@ATTRIBUTE ghost_pos1 numeric
@ATTRIBUTE ghost_pos2 numeric
@ATTRIBUTE ghost_pos3 numeric
@ATTRIBUTE ghost_pos4 numeric
@ATTRIBUTE ghost_pos5 numeric
@ATTRIBUTE ghost_pos6 numeric
@ATTRIBUTE ghost_pos7 numeric
@ATTRIBUTE ghost_pos8 numeric
@ATTRIBUTE ghost_dir1 {North, South, West, East, Stop}
@ATTRIBUTE ghost_dir2 {North, South, West, East, Stop}
@ATTRIBUTE ghost_dir3 {North, South, West, East, Stop}
@ATTRIBUTE ghost_dir4 {North, South, West, East, Stop}
@ATTRIBUTE ghost_dist1 numeric
@ATTRIBUTE ghost_dist2 numeric
@ATTRIBUTE ghost_dist3 numeric
@ATTRIBUTE ghost_dist4 numeric
@ATTRIBUTE dot_dist numeric
@ATTRIBUTE score numeric
@ATTRIBUTE pacman_posX numeric
@ATTRIBUTE pacman_posY numeric
@ATTRIBUTE nextScore numeric

@ATTRIBUTE pacman_dir {North, South, West, East, Stop}

@DATA
False,True,True,True,False,8,6,5,12,12,4,7,1,East,South,South,Stop,9,6,9,-1,10,192,11,12,191,West
False,True,True,True,False,9,6,6,12,12,3,7,1,East,East,South,Stop,7,4,11,-1,11,191,10,12,190,West
False,True,True,True,False,9,7,6,13,11,3,7,1,North,North,West,Stop,5,4,11,-1,12,190,9,12,189,West
False,True,True,True,False,9,8,6,14,11,3,7,1,North,North,West,Stop,5,4,12,-1,13,189,8,12,188,North
False,True,True,True,False,9,9,7,14,12,3,7,1,North,East,East,Stop,5,2,14,-1,14,188,8,13,187,West
False,True,True,True,False,10,9,6,14,12,3,7,1,East,West,East,Stop,7,2,15,-1,15,187,7,13,186,West
False,True,True,True,False,11,9,6,14,13,3,7,1,East,Stop,East,Stop,9,1,17,-1,16,186,6,13,385,North
False,True,False,True,False,11,9,3,1,14,3,7,1,East,Stop,East,Stop,10,-1,19,-1,17,385,6,14,384,East
False,True,False,True,False,11,9,3,1,15,3,7,1,East,Stop,East,Stop,9,-1,19,-1,16,384,7,14,383,East
False,True,False,True,False,11,8,3,1,15,4,7,1,South,Stop,North,Stop,9,-1,17,-1,15,383,8,14,382,East
False,True,False,True,False,11,7,3,1,14,4,7,1,South,Stop,West,Stop,9,-1,15,-1,14,382,9,14,381,South
False,True,False,True,False,11,8,3,1,14,3,7,1,North,Stop,South,Stop,7,-1,15,-1,13,381,9,13,380,South
False,True,False,True,False,11,9,3,1,14,4,7,1,North,Stop,North,Stop,5,-1,13,-1,12,380,9,12,379,South
False,True,False,True,False,11,9,3,1,15,4,7,1,North,Stop,East,Stop,4,-1,13,-1,11,379,9,11,378,East
False,True,False,True,False,11,10,3,1,14,4,7,1,North,Stop,West,Stop,2,-1,11,-1,10,378,9,10,377,East
False,True,False,True,False,11,11,3,1,14,3,7,1,North,Stop,South,Stop,2,-1,11,-1,9,377,10,10,376,North
False,True,False,True,False,12,11,3,1,15,3,7,1,East,Stop,East,Stop,2,-1,13,-1,10,376,10,11,375,North
False,True,False,True,False,12,11,3,1,15,3,7,1,East,Stop,East,Stop,3,-1,14,-1,11,375,10,12,374,North
False,True,False,True,False,12,12,3,1,14,3,7,1,North,Stop,West,Stop,3,-1,14,-1,12,374,10,13,373,East
False,True,False,True,False,12,11,3,1,15,3,7,1,South,Stop,East,Stop,3,-1,14,-1,11,373,11,13,372,East
False,True,False,True,False,11,11,3,1,16,3,7,1,West,Stop,East,Stop,3,-1,14,-1,10,372,12,13,371,South
False,True,False,True,False,10,11,3,1,16,3,7,1,West,Stop,East,Stop,3,-1,13,-1,9,371,12,12,370,South
False,True,False,True,False,10,12,3,1,16,3,7,1,North,Stop,East,Stop,3,-1,12,-1,8,370,12,11,369,West
False,True,False,True,False,11,12,3,1,16,4,7,1,East,Stop,North,Stop,1,-1,12,-1,9,369,11,11,568,West
False,True,False,True,False,11,12,3,1,15,4,7,1,East,Stop,West,Stop,2,-1,12,-1,10,368,10,11,367,North
False,False,False,True,False,1,1,3,1,14,4,7,1,Stop,Stop,West,Stop,-1,-1,12,-1,11,567,10,12,566,East
False,False,False,True,False,1,1,3,1,14,5,7,1,Stop,Stop,North,Stop,-1,-1,10,-1,10,566,11,12,565,East
False,False,False,True,False,1,1,3,1,14,4,7,1,Stop,Stop,South,Stop,-1,-1,10,-1,9,565,12,12,564,East
False,False,False,True,False,1,1,3,1,14,5,7,1,Stop,Stop,North,Stop,-1,-1,8,-1,8,564,13,12,563,South
False,False,False,True,False,1,1,3,1,15,5,7,1,Stop,Stop,East,Stop,-1,-1,8,-1,7,563,13,11,562,South
False,False,False,True,False,1,1,3,1,15,5,7,1,Stop,Stop,East,Stop,-1,-1,7,-1,6,562,13,10,561,South
False,False,False,True,False,1,1,3,1,14,5,7,1,Stop,Stop,West,Stop,-1,-1,5,-1,5,561,13,9,560,South
False,False,False,True,False,1,1,3,1,13,5,7,1,Stop,Stop,West,Stop,-1,-1,3,-1,6,560,13,8,559,South
False,False,False,True,False,1,1,3,1,13,5,7,1,Stop,Stop,West,Stop,-1,-1,2,-1,7,559,13,7,558,East
False,False,False,True,False,1,1,3,1,14,5,7,1,Stop,Stop,East,Stop,-1,-1,2,-1,8,558,13,6,557,East
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,7,7,18,14,0,1,11,-1,Stop
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,7,7,18,14,-1,1,11,-2,Stop
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,7,7,18,14,-2,1,11,-3,Stop
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,7,7,18,14,-3,1,11,-4,Stop
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,7,7,18,14,-4,1,11,-5,East
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,10,6,6,17,13,-5,2,11,-6,East
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,9,5,5,16,12,-6,3,11,-7,East
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,8,4,4,15,11,-7,4,11,-8,East
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,7,3,3,14,10,-8,5,11,-9,East
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,6,2,2,13,9,-9,6,11,-10,East
False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,7,3,1,12,8,-10,7,11,189,East
False,True,True,False,True,6,5,6,9,5,1,14,6,Stop,Stop,Stop,Stop,8,4,-1,11,7,189,8,11,188,East
