@relation stateData-weka.filters.unsupervised.attribute.Remove-R1

@attribute living_ghost1 {True,False}
@attribute living_ghost2 {True,False}
@attribute living_ghost3 {True,False}
@attribute living_ghost4 {True,False}
@attribute ghost_posX1 numeric
@attribute ghost_posY1 numeric
@attribute ghost_posX2 numeric
@attribute ghost_posY2 numeric
@attribute ghost_posX3 numeric
@attribute ghost_posY3 numeric
@attribute ghost_posX4 numeric
@attribute ghost_posY4 numeric
@attribute ghost_dir1 {North,South,West,East,Stop}
@attribute ghost_dir2 {North,South,West,East,Stop}
@attribute ghost_dir3 {North,South,West,East,Stop}
@attribute ghost_dir4 {North,South,West,East,Stop}
@attribute ghost_dist1 numeric
@attribute ghost_dist2 numeric
@attribute ghost_dist3 numeric
@attribute ghost_dist4 numeric
@attribute dot_dist numeric
@attribute score numeric
@attribute nextScore numeric
@attribute pacman_posX numeric
@attribute pacman_posY numeric
@attribute pacman_dir {North,South,West,East,Stop}
@attribute pacman_action {North,South,West,East,Stop}

@data
True,True,True,False,9,9,3,13,12,5,7,1,East,North,East,Stop,7,9,8,-1,10,186,185,12,13,West,South
True,True,True,False,9,8,4,13,12,5,7,1,South,East,East,Stop,7,9,7,-1,9,185,184,12,12,South,South
True,True,True,False,8,8,5,13,13,5,7,1,West,East,East,Stop,7,9,7,-1,8,184,183,12,11,South,South
True,True,True,False,8,9,5,14,13,4,7,1,North,North,South,Stop,5,11,7,-1,7,183,182,12,10,South,South
True,True,True,False,8,9,6,14,13,5,7,1,North,East,North,Stop,4,11,5,-1,6,182,181,12,9,South,South
True,True,True,False,8,10,7,14,14,5,7,1,North,East,East,Stop,6,11,5,-1,7,181,180,12,8,South,South
True,True,True,False,7,10,7,14,15,5,7,1,West,East,East,Stop,8,12,5,-1,8,180,179,12,7,South,East
True,True,True,False,7,10,7,13,15,5,7,1,West,South,East,Stop,9,12,4,-1,7,179,178,13,7,East,East
True,True,True,False,7,11,8,13,14,5,7,1,North,East,West,Stop,11,12,2,-1,6,178,177,14,7,East,South
True,True,True,False,8,11,8,12,14,5,7,1,East,South,Stop,Stop,11,12,1,-1,7,177,376,14,6,South,South
True,True,False,False,8,11,9,12,5,1,7,1,East,East,Stop,Stop,12,12,-1,-1,8,376,375,14,5,South,South
True,True,False,False,8,11,8,12,5,1,7,1,East,West,Stop,Stop,13,14,-1,-1,9,375,374,14,4,South,West
True,True,False,False,8,12,8,13,5,1,7,1,North,North,Stop,Stop,13,14,-1,-1,10,374,373,13,4,West,West
True,True,False,False,9,12,7,13,5,1,7,1,East,West,Stop,Stop,11,14,-1,-1,11,373,372,12,4,West,West
True,True,False,False,9,12,8,13,5,1,7,1,East,East,Stop,Stop,10,12,-1,-1,12,372,371,11,4,West,North
True,True,False,False,8,12,9,13,5,1,7,1,West,East,Stop,Stop,10,10,-1,-1,11,371,370,11,5,North,North
True,True,False,False,8,11,8,13,5,1,7,1,South,West,Stop,Stop,8,10,-1,-1,10,370,369,11,6,North,North
True,True,False,False,8,10,8,14,5,1,7,1,South,North,Stop,Stop,6,10,-1,-1,9,369,368,11,7,North,North
True,True,False,False,8,11,9,14,5,1,7,1,North,East,Stop,Stop,6,8,-1,-1,8,368,367,11,8,North,West
True,True,False,False,8,10,10,14,5,1,7,1,South,East,Stop,Stop,4,6,-1,-1,9,367,366,10,8,West,West
True,True,False,False,8,10,9,14,5,1,7,1,South,West,Stop,Stop,3,6,-1,-1,10,366,365,9,8,West,North
